Game Type,Game Tag,islive,Tournament Name,Tournament ID,Tournament code,Tournament name (API),SEO Title,SEO Description,Button Img,Head Image,Header 1,Header 2,Description P1,Description P2,Description P3,Twitter Handle,Twitter Link,Stream 1,Stream 2,Stream 3,Stream 4,Team 1,Team 2,Team 3,Team 4,Team 5,Team 6,Team 7,Team 8,Team 9,Team 10,Team 11,Team 12,Team 13,Team 14,Team 15,Team 16,Team 17,Team 18,Team 19,Team 20
dota,Dota 2,1,Shanghai Major 2016,191862,shanghai-major,Major Championships,Shanghai Major 2016 | Bet-eSport.com,"Check out how the 2015 Frankfurt Major is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/shanghai-major-button.jpg,http://www.bet-esport.com/i/tournaments/shanghai-major-head.jpg,Shanghai Major 2016,,"The <strong>Shanghai Major 2016</strong> will be the second of the “Major Events” of <strong>Valve’s Dota Major Championships</strong>. It started with the <strong>Frankfurt Major</strong> back in 2015 that saw <strong>OG</strong> taking the first place position and <strong>Team Secret</strong> and <strong>Evil Geniuses</strong> taking second and third place respectively. 
","Valve's major tournaments will end with <strong>The International 2016</strong>. The majors includes: American qualifiers, Chinese qualifiers, European qualifiers and SEA qualifiers. The main event takes place at the Mercedes-Benz Arena in Shanghai, China.","The group stages will begin February 25th until February 28th, and the main event will be March 2nd lasting until March 6th. The following event will be the <strong>Manila Major</strong>.",ShanghaiMajor,701793805670944768,http://player.twitch.tv/?channel=dotamajor,http://player.twitch.tv/?channel=dotamajor2,,,OG,Evil Geniuses,Team Secret,EHOME,CDEC Gaming,Vici Gaming,Virtus Pro,Alliance,Team Liquid,Team Spirit,Team Archon,compLexity,LGD Gaming,Newbee,Fnatic,MVP Phoenix,,,,
dota,Dota 2,1,WePlay League 2016,6233,weplay-league,WePlay League,WePlay League 2016 | Bet-eSport.com,"Check out how the 2016 WePlay League is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/weplay-league.jpg,http://www.bet-esport.com/i/tournaments/weplay-league-head.jpg,WePlay League 2016,,Season 3 of the WePlay League,,,WePlayLeague,699734488281178112,http://player.twitch.tv/?channel=weplaydota2,,,,OG,Evil Geniuses,Virtus.pro,Vega Squadron,,,,,,,,,,,,,,,,
dota,Dota 2,1,ESL One 2016,8284,esl-one,ESL One,ESL One 2016 | Bet-eSport.com,"Check out how the League of Legends, 2016 Tencent LoL Pro League is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/esl-one-2016-button.jpg,http://www.bet-esport.com/i/tournaments/esl-one-2016-head.jpg,ESL One 2016,,,,,ESLOne,700061530663088128,http://player.twitch.tv/?channel=esl_joindotared,http://player.twitch.tv/?channel=esl_dotacinema,,,EHOME,Team Liquid,Team Secret,compLexity Gaming,Team Empire,,,,,,,,,,,,,,,
lol,League of Legends,1,Tencent LoL Pro League 2016,6221,tencent-lol-pro-league-2016,Tencent LoL Pro League,Tencent LoL Pro League 2016 | Bet-eSport.com,"Check out how the League of Legends, Tencent LoL Pro League 2016 tournament is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/tencent-lol-pro-league-2016-button.jpg,http://www.bet-esport.com/i/tournaments/tencent-lol-pro-league-2016-head.jpg,Tencent LoL Pro League 2016,,,,,LPL,700808085070344193,,,,,Edward Gaming,Hyper Youth Gaming,LGD Gaming,Royal Never Give Up,Vici Gaming,Energy Pacemaker.All,Invictus Gaming,Master3,Qiao Gu,Snake,World Elite,OMG,,,,,,,,
lol,League of Legends,1,NA Championship Series 2016,6164,na-championship-series,Championship Series,NA Championship Series 2016 | Bet-eSport.com,"Check out how the League of Legends, NA Championship Series 2016 tournament is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/na-championship-series-button.jpg,http://www.bet-esport.com/i/tournaments/na-championship-series-head.jpg,NA Championship Series 2016,,,,,LCS,700809956912549888,http://player.twitch.tv/?channel=riotgames,,,,Cloud9,CLG,Echo Fox,Immortals,NRG,Renegades,Team Dignitas,Team Impulse,Team Liquid,Team SoloMid,,,,,,,,,,
lol,League of Legends,1,EU Championship Series 2016,6164,eu-championship-series,Championship Series,EU Championship Series 2016 | Bet-eSport.com,"Check out how the League of Legends, EU Championship Series 2016 tournament is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/eu-championship-series-button.jpg,http://www.bet-esport.com/i/tournaments/eu-championship-series-head.jpg,EU Championship Series 2016,,,,,LCS,700809956912549888,http://player.twitch.tv/?channel=riotgames,,,,Elements,Gamers2,H2k-Gaming,ROCCAT,Team Vitality,Fnatic,GIANTS Gaming,Origen,Splyce,Unicorns of Love,,,,,,,,,,
lol,League of Legends,1,Champions Korea 2016,192553,champions-korea,Champions Korea,Champions Korea 2016 | Bet-eSport.com,"Check out how the League of Legends, Champions Korea 2016 tournament is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/champions-korea-button.jpg,http://www.bet-esport.com/i/tournaments/champions-korea-head.jpg,Champions Korea 2016,,,,,LCK,700818299970416640,,,,,Afreeca Freecs,CJ Entus,e-mFire,Jin Air Green Wings,KT Rolster,Longzhu,ROX Tigers,Samsung,SBENU Sonicboom,SK Telecom T1,,,,,,,,,,
lol,League of Legends,1,Master Series 2016,10502,master-series,LoL Master Series,Master Series 2016 | Bet-eSport.com,"Check out how the League of Legends, Master Series 2016 tournament is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/master-series-button.jpg,http://www.bet-esport.com/i/tournaments/master-series-head.jpg,Master Series 2016,,"The <strong>League of Legends Master Series (LMS)</strong> is the LoL professional league from Southeast Asia with teams from Taiwan, Hong Kong, and Macau. The league has two season per year, one based in the summer, and the other in the spring. ",,,LMS,,,,,,ahq e-Sports Club,Flash Wolves,Hong Kong Esports,Machi eSports,Midnight Sun eSports,Taipei Assassins,Extreme Gamers,COUGAR,,,,,,,,,,,,
csgo,Counter-Strike: Global Offensive,1,NA ESL Pro League,149079,na-esl-one-pro-league,ESL ESEA Pro League,NA ESL Pro League | Bet-eSport.com,"Check out how the Counter-Strike: Global Offensive, NA ESL Pro League tournament is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/na-esl-one-pro-league-button.jpg,http://www.bet-esport.com/i/tournaments/na-esl-one-pro-league-head.jpg,NA ESL Pro League,,,,,ESLProLeague,702622749810958336,http://player.twitch.tv/?channel=esl_csgo,,,,Cloud9,compLexity,Counter Logic Gaming,EnemyGG,Luminosity Gaming,NRG,OpTic Gaming,Renegades,Splyce,Team AGG,Team Liquid,Winterfox,,,,,,,,
csgo,Counter-Strike: Global Offensive,1,EU ESL Pro League,149079,eu-esl-one-pro-league,ESL ESEA Pro League,EU ESL Pro League | Bet-eSport.com,"Check out how the Counter-Strike: Global Offensive, EU ESL Pro League tournament is going, see the games that are currently happening and get the best odds on Bet-eSport.com",http://www.bet-esport.com/i/tournaments/eu-esl-one-pro-league-button.jpg,http://www.bet-esport.com/i/tournaments/eu-esl-one-pro-league-head.jpg,EU ESL Pro League,,,,,ESLProLeague,702622749810958336,http://player.twitch.tv/?channel=esl_csgo,,,,Astralis,FaZe,FlipSid3,Fnatic,G2,mouseesports,Natus Vincere,Ninjas in Pyjamas,SK Gaming,Team Dignitas,Team Envyus,Virtus.pro,,,,,,,,
